Genes,Diseases,Word2vec,BERT,BioBERT,BioSentVec,Word2vec.Humans,BERT.Humans
DBH,obsessive-compulsive_disorder,0.20260307,0.7833481423,0.7419229361,0.1558795869,0.3108348548,0.8678547
SNCB,myofibrillar_myopathy,0.37931868,0.7752276038,0.7609067613,0.1614695787,0.4836629629,0.8493862
AFF4,mandibulofacial_dysostosis,0.50667125,0.6969812976,0.7709358063,0.05879393965,0.505863905,0.88876104
HYDIN2,liver_dysfunction,0.057188656,0.8746594616,0.8555115768,0.04389444366,-0.006661798339,0.86783075
RHOG,fusiform_aneurysm,0.30347443,0.7680648042,0.7202226156,0.1279828697,0.4854920208,0.83493435
RHOC,marinesco-sjogren_syndrome,0.33229318,0.8081310354,0.7542844927,0.06373561174,0.4925656021,0.88027227
CSPP1,hibernoma,0.5051886,0.8457844963,0.8715014804,0.2218865603,,0.8525068
THAP1,sotos_syndrome,0.6172611,0.9076103938,0.8871450687,0.2670909464,0.6513286233,0.89739096
COCH,chronic_periodontitis,0.07950716,0.8009744129,0.8289687563,0.1345979422,0.08365941048,0.8466178
HYAL1,panic_disorder,-0.08002053,0.8522177696,0.8513301323,0.07154096663,0.0309400782,0.87689936
HOXD4,choroideremia,0.4120651,0.7859969057,0.8485332504,0.2252924591,,0.91429114
ALPL,aspiration_pneumonia,0.17696992,0.8227986724,0.8334573148,0.04280323535,0.2264496386,0.91603243
GPR151,brachydactyly,0.037702635,0.8541051889,0.8353047738,0.05573618785,,0.8625106
DDX3X,single_seizure,0.18708687,0.808836889,0.8274536208,0.1086152792,0.3089345396,0.81226575
ADGRL3,diabetic_nephropathy,0.1461075,0.8044558235,0.7993751561,0.01112592965,,0.8647977
FMO4,kidney_failure,0.22455034,0.7399750882,0.8599961429,0.1787371635,0.2757338583,0.86432815
FOXJ2,aortic_valve_insufficiency,0.62168735,0.7731201338,0.8034611609,0.1996385604,0.4468917847,0.8670425
RAD51AP1,noonan_syndrome,0.19487071,0.8796353345,0.8296534455,0.05851691961,,0.84664243
UBE2M,optic_neuritis,0.10155504,0.7922761802,0.8028496717,0.09304175526,0.05037207901,0.87525076
RFC1,juvenile_polyposis_coli,0.1549919,0.8500961838,0.8131131602,0.1436257809,,0.87407756
GALNT2,adiponectin_deficiency,0.38149884,0.8878766472,0.8142192667,0.2717538178,,0.8861356
