Genes,Diseases,Word2vec,BERT,BioBERT,BioSentVec,Word2vec.Humans,BERT.Humans
A1BG,Hepatomegaly,0.1308937669,0.8861870084,0.8250167118,0.08228180557,0.2277069986,0.8894
A1BG,Schizophrenia,0.07883261144,0.9043856679,0.8275287668,0.06666713208,0.04532491788,0.91154975
A2M,Alzheimer's Disease,0.1862604618,0.8966149856,0.7924453839,0.1999053657,,0.90279293
A2M,Colonic Neoplasms,0.2425560653,0.8785470786,0.8016938057,0.03307474405,,0.90860516
A2M,Presenile dementia,0.2606833875,0.8847062519,0.8054101154,0.1792337298,,0.8587041
A2M,Mental Depression,0.1113178581,0.8563883992,0.8545939701,0.08003591001,,0.87295485
A2M,Depressive disorder,0.1484722197,0.8859992931,0.8004331838,0.07415637374,,0.8755424
A2M,Hepatolenticular Degeneration,0.3273307681,0.8631946993,0.8052302684,0.1568894833,,0.87899333
A2M,Liver Cirrhosis,0.2900580168,0.8840979333,0.7693082853,0.1684116423,,0.9073255
A2M,Lung diseases,0.1297614872,0.8440959009,0.84936569,0.1560751349,,0.86851215
A2M,Lung Neoplasms,0.1662148684,0.8768942733,0.7993981571,0.0891944617,,0.891801
A2M,Nephrotic Syndrome,0.2464480102,0.8857238103,0.8033000787,0.1355415881,,0.8747753
A2M,Hepatocellular Adenoma,0.2528508008,0.8735262613,0.8028906968,0.09944287688,,0.8880646
A2M,Familial Alzheimer Disease (FAD),0.2936990559,0.8966880135,0.8229536072,0.1943264455,,0.89342535
A2M,Acute Kidney Insufficiency,0.06602598727,0.8765568102,0.8155286437,0.06852589548,,0.8535882
A2M,Liver carcinoma,0.2085779011,0.8653770009,0.8207709202,0.08213641495,,0.8608315
A2M,Acute kidney injury,0.1409834623,0.8717104585,0.81923415,0.1169764474,,0.84497535
NAT1,Malignant Neoplasms,0.1470420808,0.9000404188,0.7872688598,0.1599023342,,0.86407495
NAT1,Chromosome Aberrations,0.2320487201,0.9061241637,0.7935298188,0.1806133837,,0.8611816
